GeneSymbol	example_TCGA-BH-A18U-11A-23R-A12D-07
PTPRN2	157.5472
FAIM	265.5660
KLKP1	0.0000
BICC1	379.2453
OR4K14	0.0000
PARL	812.7358
ITGA5	1602.3585
PCNXL2	528.3019
DNAJC15	659.4340
IGSF10	1109.4340
ZNF836	186.3208
C14orf49	110.3774
N4BP3	254.2453
TNK2	1149.6792
ABHD8	224.0566
PRDM14	0.0000
TRIML2	0.0000
LOC100131551	1.8868
RPL15	21400.4717
PPP1R7	832.5472
BRWD3	234.9057
ERGIC2	741.5094
SPATA22	0.9434
HOXC9	68.3962
HOXD12	0.0000
DOHH	108.9623
CCK	3.3019
NEDD9	6128.7736
RASAL1	158.9623
PDE4A	437.7358
C18orf56	10.8491
RHOXF1	9.9057
PTH2R	76.4151
OR1N2	0.0000
EVC2	206.1321
SNORD95	0.0000
?	0.0000
C10orf53	0.0000
BEND2	0.0000
THAP1	200.9434
RBMY1E	0.0000
NLRX1	555.6604
C5orf27	47.6415
ABCD2	119.8113
DPPA5	0.0000
ARF3	4366.0377
LGALS3BP	7480.6604
ANKRD22	45.2830
SNORD116-19	0.0000
OR5C1	0.0000
VCAM1	867.9245
TMEM41B	571.6981
ALKBH8	218.3962
CPLX3	11.3208
CRTC3	1258.0189
FAM182B	8.4906
SNRPB2	767.9245
RPL29	9559.4340
GPER	93.8679
RMND5B	544.3396
ADSSL1	132.0755
CBX4	343.8679
RSPH10B2	2.3585
TGFB1I1	1086.7925
BGN	2135.8491
IFIT2	418.8679
TMEM139	465.0943
KRT16	796.6981
CD8A	149.0566
ANGPTL4	564.1509
SIPA1L1	1736.3208
C3AR1	324.0566
GSTT1	22.1698
OR4N2	0.0000
PSKH1	1116.0377
PPEF1	0.0000
ANK2	773.1132
TMEM14B	640.5660
SNORA74A	0.0000
FREM2	76.8868
THG1L	139.1509
ZMYND12	64.1509
H1FNT	0.0000
FOXD4	6.6038
KLHL33	4.7170
KRTAP1-3	0.4717
WFDC1	198.5849
FLJ42875	10.8491
SERAC1	364.1509
OR8D2	0.0000
THBS4	339.1509
MSX2	223.5849
MAMDC4	32.0755
RBM3	5908.9623
CRABP1	407.0755
GPD2	1533.0189
CYP4V2	980.6604
MTNR1B	0.0000
CXorf59	0.4717
UNC13B	1269.8113
IL4	0.9434
TEAD4	209.4340
ZMAT3	238.6792
SLC27A4	415.0943
WARS	2329.7170
CNBP	7954.7170
ELP3	765.5660
ACOT11	40.6509
MASP1	147.1698
CEACAM22P	0.4717
LOC730811	0.0000
USP29	0.0000
SEMA5B	16.9811
SRPRB	1083.4906
FGF11	177.3585
PDHB	948.1132
BAI2	101.8868
COPS2	1675.4717
MMEL1	11.7217
NARG2	1052.3585
PCGF5	1507.0755
PGAP2	525.9434
C1orf135	17.4528
FOXN1	12.2642
NDUFB2	624.0566
KLHL14	42.9245
KDM4B	1535.8491
MRPL19	985.3774
CD276	1439.1509
SYTL2	905.1887
TEKT2	20.2830
CENPE	94.8113
PSMD12	710.8491
CNOT10	570.2830
CALB2	348.5849
OGFOD2	201.7925
HLA-C	15085.1132
COL4A1	3903.7736
LMBRD1	1718.8679
ADRA1D	9.9057
LOC100132247	134.9057
ZNF57	108.0189
ADCY8	0.9434
TCOF1	1001.8868
SP140L	315.0943
C14orf80	87.2642
BAZ1B	2170.2830
HNRNPK	12103.7736
C1orf70	3.7736
STX10	253.3019
PRPSAP2	396.2264
CIR1	900.9434
KCTD12	4541.0377
C19orf70	436.7925
NUFIP2	2648.1132
FMO6P	0.9434
OR5H2	0.0000
NR1D2	1895.2830
LHFPL1	17.4528
RAG1	50.0000
IRX2	816.5094
MCCC1	881.6038
ZNF256	155.1887
SLC16A8	9.4340
TMEM150B	4.2453
KCTD9	1563.6792
SNORD23	0.0000
C4orf19	208.4575
TOMM70A	2009.7877
JAKMIP3	83.4906
DKFZp434J0226	20.2830
TMCO4	725.9434
TM4SF1	12932.5472
ANGPTL5	9.4340
ZWILCH	252.3585
KIF27	180.1887
MCM8	279.7170
HDAC1	2137.7358
TMEM178	333.0189
SNORA36A	0.0000
NFYB	837.2642
PMCH	2.2217
PSD	12.7358
ZNF271	684.9057
MAP2K5	298.1132
FUCA2	1115.0943
ZNF208	88.6792
DIRAS2	63.2075
BATF3	24.0566
VN1R1	13.2075
KIF2C	140.0943
CACNA1F	8.0189
PRICKLE2	969.8113
CD40	340.0943
RHBDD1	316.5094
ZNF507	794.3396
PPP1R16B	742.9245
PYROXD2	334.4340
C9orf30	178.4811
TRIM5	586.4151
CCKBR	0.0000
TMEM205	969.8113
FADD	378.3019
ROBO4	1016.5094
KIF5A	49.5283
RAB35	1158.9623
RPN1	5227.8302
SEC31B	204.7500
PMF1	566.9292
LOC100134229	164.6226
ATG10	101.4151
TRIP6	1264.6226
DDX59	511.3208
MCCD1	56.1321
ZNF618	1008.0189
OR56B4	0.4717
ABI2	2013.6792
ERLEC1	1531.1321
ANXA10	0.0000
SLC25A22	249.0566
KIAA0174	3067.4528
SNORD18B	0.0000
ESF1	483.0189
FAM72B	65.0943
OR6C76	0.0000
SFTPA2	0.9434
ZXDB	467.4528
OPN5	0.0000
LOC84931	0.4717
FAM127C	399.0566
LRRC36	5.6604
PADI1	0.0000
TRIO	2506.6038
PANK2	464.1509
ZCCHC8	733.0189
MTFR1	384.0000
SLC38A7	234.9057
C12orf45	129.2453
RTKN	583.9623
PIGF	187.8066
LHCGR	10.8491
CBLB	391.9811
MAPK9	928.7736
PACS2	1143.3962
PAX3	5.1887
HS6ST3	39.1509
IL7	58.0189
RPL36AL	2900.4717
C14orf28	118.8679
C14orf139	245.7547
GPR77	73.1132
ARSI	45.7547
C16orf11	0.0000
OCRL	1238.6792
TFAP2C	2341.0377
DDX42	3453.3019
SATB1	943.8679
MOSPD2	293.3962
FAM49A	243.3962
TSGA13	0.0000
MYADML	0.4717
LOC728758	19.8113
SNHG9	28.7736
DFNB59	31.6038
ZNF559	469.1887
TDG	410.8491
LOC399744	101.8868
AKNA	787.2642
LGALS13	0.0000
VAC14	898.5849
PKP3	559.4340
RPH3A	2.8302
WWTR1	1146.3868
psiTPTE22	421.2264
ADO	646.6981
EFEMP2	1219.8113
DCAF17	494.3396
DHX40P1	0.0000
TAS2R3	1.8868
CAPZA3	13.6792
BEND6	14.6226
ALPK1	769.3396
SNAPC4	337.2642
ARHGEF35	2116.9811
ERBB2	5592.9245
ZNF436	986.3208
PKD1L1	15.0943
C4orf23	279.2453
TXNRD3IT1	256.1321
INHA	8.9623
ZNF225	94.8113
IKZF4	246.6981
FAM124A	53.7736
ODF4	0.0000
ONECUT3	0.0000
NRAP	2.3726
TLR1	327.8302
ZNF385B	72.1698
TUSC5	1193.8679
SMCP	0.0000
BPNT1	707.0755
HIST2H2AB	0.0000
C6orf120	863.0708
MC5R	0.0000
C19orf56	1518.8679
