GeneSymbol	example_TCGA-LL-A5YM-01A-11R-A28M-07
ZNF165	194.9000
LRRC3B	0.0000
UGT1A1	0.0000
RNF26	900.2675
HAUS8	297.0322
ITGA8	0.5095
CCR9	0.0000
RFX1	458.0308
CWH43	0.0000
CLEC2A	0.5095
SLC2A6	130.4292
RNF122	164.0555
CDC7	164.0555
TMEM140	474.8542
SNORA38B	0.0000
CNTNAP3	26.4934
BBS4	369.3797
DHX58	646.0324
ACP5	7526.1750
FUZ	746.8195
CP	2.7054
NDFIP1	5151.9552
PGBD2	74.3854
C6orf170	14.2657
IL1RN	127.8818
TRUB2	936.9507
FGFR2	119.2205
C11orf35	183.3856
KRTAP12-3	0.0000
LOC400043	489.6192
ERAL1	3404.4071
CA10	0.0000
RNU6ATAC	0.0000
CCDC144A	0.0000
RHOBTB1	135.0146
WBSCR17	4.0759
PRDM10	89.1606
F9	0.0000
HMGB3L1	0.0000
TLE4	55.5343
APBB1	565.0236
CEP135	53.4964
CDH16	0.0000
C12orf4	160.9986
CDC42EP5	131.4482
GPR143	26.4934
GTF2E2	1672.1437
SNORD115-38	0.0000
ZFAND6	1625.2707
BCAT2	3725.8948
CYMP	0.0000
GON4L	609.9503
RPL27	29564.6414
RASGRF2	19.8701
ACTG1	123807.9226
MEGF9	741.3068
TARS	2053.7511
LOC150197	10.6993
SLC7A3	0.0000
LYPD6	12.7372
MSC	177.7506
SULT4A1	0.0000
TSTA3	2318.1760
ANKRD2	1.0190
TECTB	0.0000
ZNF679	0.0000
TSPAN9	830.9769
TMEM183A	2245.3191
FAM63A	3731.4992
HOOK2	1573.8123
ZNF672	2422.1118
LPCAT4	538.0206
PIGB	356.8412
SCARNA22	0.0000
STARD4	4.0759
NANOS3	3.0569
MED30	87.6321
CACNA1B	2.0380
SAA4	23.9460
DTX2	975.6719
SPAG11A	0.0000
FUS	5266.5902
ANKRD45	3.5664
C2orf14	44.3256
PRSS16	599.1593
AURKB	439.1797
ADAP1	643.1792
NNMT	4360.7184
PTN	60.6292
PRMT5	1909.5657
FRMD5	2.5474
GNAS	26394.5994
LGALS8	733.7766
ZNF321	35.1548
NAIF1	330.6585
SECISBP2L	206.3431
ABP1	1309.8968
MS4A2	21.3985
ADH7	1.0190
CDH20	1.0190
B9D2	185.8770
POLD1	1554.9612
LEO1	797.3507
UBXN8	540.5681
TMCO3	754.5536
SNAR-G2	0.0000
TXNDC6	2.0380
ANKRD52	748.9492
MAN2C1	1323.1435
C8orf34	1.0190
ARF4	4561.4571
MRPL35	1574.3217
BCAR3	558.4002
OR1F1	0.0000
VTA1	416.7622
C16orf59	455.9929
EGFL6	21.3985
MATN2	185.4541
SGK269	220.0994
ZNF546	67.2526
PIP5KL1	6.1139
CSNK1A1L	1.0190
FAM63B	22.4175
PCDH20	37.1927
BTF3	14568.3352
MAN1A2	167.1125
ANKHD1-EIF4EBP3	752.4545
DNAH17	24.9650
WDR36	297.0322
FAT3	0.5095
C6orf105	4.0759
GHSR	0.0000
ANKRD37	44.7637
CTTN	3157.3048
HARS	2472.5513
PHC2	3293.8479
TP53I3	856.9609
TP53AIP1	8.6613
NCRNA00032	0.0000
PNPT1	360.7184
CCDC153	145.2044
ATP10B	2.0380
CCNB1IP1	369.3797
COG4	3193.9880
OR5R1	0.0000
SLC26A11	682.2061
POMZP3	467.5328
NCAM1	9.1708
CRH	0.0000
FAM116A	441.7272
KLHL31	22.9270
CLOCK	20.8891
SPDYE3	46.3126
GRIK5	48.9110
ECSIT	2122.0227
TPD52	4564.8452
IL11	21.9080
RPF1	978.2193
CACNB1	200.2293
LOC401431	33.1270
TMEM222	1070.9464
TBX5	16.3037
SMARCE1	2806.2667
CLCF1	271.5578
MRPS7	4278.1098
OCLN	77.9519
C1orf180	0.0000
COL3A1	26002.8022
MAGEC3	0.0000
AFTPH	715.3229
RBM26	199.7198
WIPF2	625.6528
MBOAT1	578.7798
ASAP1	278.1811
COL4A3	1.5285
BCL2L15	1.5285
ADAMDEC1	6.1139
CEBPZ	1033.7537
TMEM82	478.9199
RHBDL1	17.8321
MAGED4	408.5034
